iter	MultiClass
244	0.610150719
245	0.6100401322
246	0.6097068202
247	0.6094507195
248	0.6090570761
249	0.6088490034
250	0.6086103328
251	0.6083612743
252	0.6081314566
253	0.6077848287
254	0.6076285005
255	0.6074331621
256	0.607223594
257	0.6071372958
258	0.606858598
259	0.6066990086
260	0.6064610396
261	0.6062975841
262	0.6061364062
263	0.6060428514
264	0.6057989692
265	0.6056975194
266	0.6055291454
267	0.6053172279
268	0.6050742712
269	0.6048937116
270	0.6046928658
271	0.6045833883
272	0.6042125821
273	0.6040961298
274	0.6038469364
275	0.6036867846
276	0.6034745729
277	0.6033323362
278	0.6030717006
279	0.6029155682
280	0.6026943393
281	0.602459657
282	0.6023227439
283	0.6022344431
284	0.6020798287
285	0.6019837309
286	0.6017321352
287	0.6016625986
288	0.6015494597
289	0.6013985342
290	0.601247751
291	0.6010382512
292	0.6008684232
293	0.6006513021
294	0.6004572679
295	0.6002426729
296	0.6001576216
297	0.6001010594
298	0.6000212756
299	0.5998674348
300	0.5996086036
301	0.5994607209
302	0.5992975524
303	0.5991289425
304	0.5990199603
305	0.598760159
306	0.5986630015
307	0.598581223
308	0.5982461361
309	0.5980516957
310	0.5978999473
311	0.5978383491
312	0.5977385987
313	0.597551016
314	0.5974394035
315	0.5972291358
316	0.5970472028
317	0.596757606
318	0.5966049036
319	0.596484949
320	0.5962887172
321	0.5960870217
322	0.5959926762
323	0.5958231785
324	0.5956669294
325	0.5955312529
326	0.5953106775
327	0.5950731856
328	0.5949125913
329	0.594760078
330	0.5946349589
331	0.5944861996
332	0.5943610698
333	0.5941816132
334	0.5938867433
335	0.5935393637
336	0.5933606287
337	0.5932837159
338	0.5930563122
339	0.5927225977
340	0.5926367737
341	0.5924085209
342	0.5921990625
343	0.5918890007
344	0.591740827
345	0.5916048159
346	0.5915046902
347	0.5914416238
348	0.5912261592
349	0.591070733
350	0.5908721466
351	0.5905717187
352	0.5902958423
353	0.5901356581
354	0.5900821541
355	0.5899542578
356	0.5898107582
357	0.5896814533
358	0.5895209902
359	0.589410543
360	0.5891246213
361	0.58906511
362	0.5889449005
363	0.5888333929
364	0.5887015052
365	0.588608682
366	0.588439226
367	0.5883384391
368	0.5882427647
369	0.5880517267
370	0.5878367804
371	0.5876746046
372	0.587389468
373	0.5871623941
374	0.586914226
375	0.5868087633
376	0.586575853
377	0.586488263
378	0.586414586
379	0.5862624036
380	0.5860879701
381	0.5859866456
382	0.5858057804
383	0.5856755717
384	0.5855502227
385	0.5853979102
386	0.585191195
387	0.5851278341
388	0.5848433078
389	0.5846817142
390	0.5844985636
391	0.5844381808
392	0.5843187837
393	0.5840414367
394	0.5838638761
395	0.5837495227
396	0.5836262235
397	0.5834962567
398	0.5832883321
399	0.5832307514
400	0.5830810679
401	0.5829564344
402	0.5828212791
403	0.5825980253
404	0.5825388378
405	0.5824011408
406	0.5823156459
407	0.5821462751
408	0.5819897029
409	0.5819162465
410	0.5817564638
411	0.5816403148
412	0.5815096538
413	0.5813810735
414	0.5812727682
415	0.5809890379
416	0.5809255389
417	0.5808493876
418	0.5807369313
419	0.5806566589
420	0.580439875
421	0.58029735
422	0.5801437471
423	0.5800985418
424	0.5799747033
425	0.5798129889
426	0.579635964
427	0.5794969248
428	0.5793247984
429	0.5792257666
430	0.579150377
431	0.5789263404
432	0.5787665652
433	0.5787090901
434	0.5785259886
435	0.5783287409
436	0.5782457138
437	0.5781917259
438	0.5779765961
439	0.5778103297
440	0.5776386504
441	0.5775503752
442	0.5774091193
443	0.5773176265
444	0.5771867666
445	0.5770961668
446	0.5768015485
447	0.5767498441
448	0.5764968813
449	0.5762995098
450	0.5761675043
451	0.5760660607
452	0.5759361027
453	0.5757836842
454	0.5756564059
455	0.5755613657
456	0.5754310539
457	0.5753395262
458	0.5751797276
459	0.5749481635
460	0.5748842151
461	0.5747491984
462	0.5745937499
463	0.574435483
464	0.574310868
465	0.5741254806
466	0.5739424809
467	0.5737201287
468	0.5736266503
469	0.5735612777
470	0.5735003079
471	0.5733931731
472	0.5733325475
473	0.5732865106
474	0.5730575665
475	0.5728679353
476	0.5726610561
477	0.5725165467
478	0.5724327128
479	0.5723557147
480	0.572178812
481	0.5720342657
482	0.5719407235
483	0.5717766196
484	0.5716218312
485	0.5713523249
486	0.5711278885
487	0.5709600382
488	0.5707436697
489	0.5706713403
490	0.5705995257
491	0.5704593246
492	0.57037369
493	0.5702112209
494	0.5700389036
495	0.5699830617
496	0.5697963446
497	0.5696759344
498	0.5695181285
499	0.5693703349
500	0.569197963
501	0.5690552953
502	0.5688903144
503	0.5687490453
504	0.5687014647
505	0.5686260459
506	0.5684698063
507	0.5683615123
508	0.5681985391
509	0.5679386127
510	0.5677732866
511	0.5676736058
512	0.5675317196
513	0.5674684063
514	0.5673230064
515	0.5671615801
516	0.5669968179
517	0.5669683993
518	0.5668454606
519	0.5667063335
520	0.5666779303
521	0.5666061932
522	0.5665321081
523	0.5663993272
524	0.5662982578
525	0.5661705865
526	0.5659398029
527	0.5658274269
528	0.5657502058
529	0.565683837
530	0.5654986028
531	0.5653892166
532	0.5653009487
533	0.5652100621
534	0.5649998623
535	0.564910615
536	0.564767619
537	0.5647063
538	0.5646908282
539	0.5646352089
540	0.564583262
541	0.5645044966
542	0.564423726
543	0.5642909167
544	0.5642105573
545	0.5641239693
546	0.5640325974
547	0.5639339653
548	0.5638467291
549	0.5637296725
550	0.5635650097
551	0.5633916199
552	0.5632642238
553	0.5631389596
554	0.5630343983
555	0.5629348437
556	0.5628328088
557	0.5627621557
558	0.5626478482
559	0.5626015054
560	0.5624776906
561	0.5624139354
562	0.5623385851
563	0.5621538919
564	0.5620805002
565	0.5618243104
566	0.5617390926
567	0.5616152684
568	0.5615298409
569	0.5614466983
570	0.5612764894
571	0.561005551
572	0.5609116795
573	0.5608414111
574	0.5607066818
575	0.5606029091
576	0.5604944689
577	0.5603155783
578	0.5602134524
579	0.5600175814
580	0.5598921217
581	0.5597754434
582	0.5596242869
583	0.5595693969
584	0.5594572672
585	0.5594100854
586	0.5593314621
587	0.5591935662
588	0.5590617458
589	0.5589990677
590	0.5588737089
591	0.5587507333
592	0.5585967613
593	0.558474436
594	0.5582757708
595	0.5581381848
596	0.558052297
597	0.5579623068
598	0.557888147
599	0.5578439832
600	0.5577042671
601	0.5575686081
602	0.5574815459
603	0.5574252216
604	0.5573588713
605	0.5572871651
606	0.5571648573
607	0.5570556723
608	0.5569670837
609	0.5569356477
610	0.5567742976
611	0.5566975676
612	0.5566630464
613	0.5565573945
614	0.5564758772
615	0.5564163785
616	0.5562967398
617	0.5561311763
618	0.5559702387
619	0.555906888
620	0.5558511002
621	0.555776385
622	0.5556903517
623	0.5556465679
624	0.5555896411
625	0.5555757577
626	0.5555047848
627	0.5553510349
628	0.5552635478
629	0.5551681583
630	0.5550691781
631	0.554966209
632	0.554834701
633	0.5547734574
634	0.5546940468
635	0.5546177108
636	0.5545727327
637	0.5545079322
638	0.5544811875
639	0.5543167674
640	0.5541593549
641	0.5541028739
642	0.5539899441
643	0.5538939682
644	0.5538640667
645	0.5538030375
646	0.5537176594
647	0.55360167
648	0.5534535404
649	0.5533292815
650	0.5532984397
651	0.5532345642
652	0.5531723446
653	0.5531325429
654	0.5530905356
655	0.5530088549
656	0.5529355813
657	0.5528892936
658	0.5527527033
659	0.5526279933
660	0.5524871989
661	0.5523945615
662	0.5523286313
663	0.5522659054
664	0.5521892613
665	0.5520897803
666	0.5520352373
667	0.551992479
668	0.5519282674
669	0.5518202668
670	0.5517566875
671	0.5516537438
672	0.5516195956
673	0.5515377927
674	0.5514169581
675	0.5512745582
676	0.5512101892
677	0.5511017385
678	0.5509989261
679	0.5508993588
680	0.5507997579
681	0.5507972709
682	0.5506726161
683	0.5506074903
684	0.5505266364
685	0.5503811414
686	0.5503186643
687	0.5502153386
688	0.5500894314
689	0.5500484943
690	0.5499717878
691	0.549904494
692	0.5497903865
693	0.5497552613
694	0.5496312743
695	0.5495776467
696	0.5495069761
697	0.5493997104
698	0.5493573302
699	0.5491350357
700	0.5490519
701	0.5489256023
702	0.5488261725
703	0.548663902
704	0.5486157335
705	0.5485156616
706	0.548390964
707	0.5482767976
708	0.5482334822
709	0.5481425907
710	0.5480442123
711	0.5479163244
712	0.5478705558
713	0.547752042
714	0.5476970217
715	0.547585483
716	0.5475450319
717	0.5474525743
718	0.5474350198
719	0.5473445564
720	0.5471875804
721	0.5471264222
722	0.5470269967
723	0.5469469465
724	0.5468982916
725	0.5468386318
726	0.5467875203
727	0.5467362289
728	0.5466205391
729	0.5465418577
730	0.5464143502
731	0.5463503359
732	0.5462708568
733	0.5462522652
734	0.5461363385
735	0.5460957853
736	0.5460513772
737	0.5460155457
738	0.5459441105
739	0.5458597752
740	0.5457754261
741	0.5457054551
742	0.5456603163
743	0.5455631626
744	0.5455139579
745	0.5454517831
746	0.545385128
747	0.545286845
748	0.5452381553
749	0.5451180185
750	0.5450883003
751	0.5449165215
752	0.5448422858
753	0.5447729839
754	0.5447179148
755	0.5446336177
756	0.5445862036
757	0.5445667045
758	0.5444733185
759	0.544437274
760	0.5443898717
761	0.5443184818
762	0.54425297
763	0.5441913433
764	0.544124144
765	0.5440119671
766	0.5439732639
767	0.543853263
768	0.5437110468
769	0.5435620118
770	0.543458699
771	0.5434046323
772	0.5433069952
773	0.5431329246
774	0.543092478
775	0.5430008038
776	0.5429833495
777	0.5428880137
778	0.542877617
779	0.5428033704
780	0.5427052879
781	0.5426241358
782	0.5425704794
783	0.5425468517
784	0.5423981789
785	0.5423709012
786	0.542304399
787	0.5421950996
788	0.5421331205
789	0.5420855301
790	0.5418460881
791	0.5417833359
792	0.5416530869
793	0.5416002949
794	0.5415565945
795	0.5414999415
796	0.5414823859
797	0.5414560241
798	0.5413782962
799	0.5413209087
800	0.5412661284
801	0.5412011909
802	0.5411490631
803	0.541105653
804	0.5410405442
805	0.5409612822
806	0.5408841741
807	0.5407828094
808	0.540729551
809	0.5406560388
810	0.5405621819
811	0.5405139381
812	0.5404852406
813	0.540428483
814	0.5403502225
815	0.5403193829
816	0.540189622
817	0.5400075694
818	0.539954095
819	0.5399096593
820	0.5398521418
821	0.5397774428
822	0.5397502509
823	0.539641231
824	0.5395707454
825	0.5395211083
826	0.5394638197
827	0.5393975423
828	0.5392912071
829	0.5392710404
830	0.5391688798
831	0.5391535879
832	0.5390175171
833	0.5389136413
834	0.5388480725
835	0.5387951059
836	0.5386201837
837	0.5385397822
838	0.5384803845
839	0.538415104
840	0.5383314833
841	0.538260638
842	0.5381435063
843	0.5380534698
844	0.5379571968
845	0.5379087387
846	0.5378172626
847	0.5376958096
848	0.5376294779
849	0.5375912468
850	0.5375222034
851	0.5375044597
852	0.5374668128
853	0.5373715248
854	0.5372841031
855	0.537225029
856	0.5371697267
857	0.5371295046
858	0.5371077563
859	0.5369916143
860	0.5368857477
861	0.5367812351
862	0.5367211076
863	0.5366300049
864	0.5365727801
865	0.5365410769
866	0.5365162285
867	0.536459234
868	0.5364401487
869	0.536353855
870	0.536288311
871	0.5362608112
872	0.5361600771
873	0.5361367802
874	0.5360932851
875	0.5360616522
876	0.535956294
877	0.5359303765
878	0.5358435194
879	0.5357951683
880	0.5357644525
881	0.5356675406
882	0.5356404573
883	0.5355839477
884	0.5355034564
885	0.5354918018
886	0.5354397507
887	0.5353965022
888	0.5353314245
889	0.5352717057
890	0.5351907183
891	0.5351425704
892	0.5351010533
893	0.53501537
894	0.5349883397
895	0.5349748038
896	0.5349482544
897	0.5348787259
898	0.5348462825
899	0.5348047752
900	0.5347173675
901	0.5346663334
902	0.5346288802
903	0.5345321285
904	0.5344032967
905	0.5343595583
906	0.5343057187
907	0.5342674751
908	0.5342361226
909	0.5341604896
910	0.5339824218
911	0.5339001059
912	0.5338691444
913	0.5338577703
914	0.5338247424
915	0.5337781906
916	0.5337005182
917	0.5336457054
918	0.5335823465
919	0.5334939871
920	0.5334251655
921	0.5333397985
922	0.5332089422
923	0.5331652085
924	0.5330858451
925	0.5329752535
926	0.5328341268
927	0.5327192948
928	0.5325953249
929	0.5324904583
930	0.5324383225
931	0.532368474
932	0.532290159
933	0.5322245007
934	0.5321780245
935	0.5321576182
936	0.5321103433
937	0.5320301336
938	0.5320027478
939	0.5319437629
940	0.5318035923
941	0.53170715
942	0.5316286203
943	0.5315438441
944	0.5314253794
945	0.5313750822
946	0.5312754382
947	0.5312389099
948	0.5311998246
949	0.5311728474
950	0.5311336047
951	0.5310612895
952	0.531022771
953	0.5309104655
954	0.5307907947
955	0.5306901928
956	0.5305751287
957	0.530490625
958	0.5304529685
959	0.5304202617
960	0.5303508504
961	0.5302653763
962	0.5301150543
963	0.5300543215
964	0.529970951
965	0.5299196821
966	0.5298644942
967	0.5298476143
968	0.5297790829
969	0.5297387837
970	0.5296955113
971	0.5296219947
972	0.5295890087
973	0.5295515552
974	0.5294548175
975	0.5293809244
976	0.5293581859
977	0.5293237991
978	0.5292630156
979	0.5292284772
980	0.5291819347
981	0.5291607011
982	0.5291165356
983	0.5290636651
984	0.5289921682
985	0.5289564552
986	0.5289348709
987	0.5288866162
988	0.5288371494
989	0.5287760968
990	0.5287496133
991	0.5286827115
992	0.528661141
993	0.5286162563
994	0.5285086557
995	0.5284417509
996	0.5282857442
997	0.5282467556
998	0.5282032903
999	0.5281694985
