iter	Passed	Remaining
400	30867	46109
401	30948	46037
402	31027	45963
403	31112	45899
404	31202	45840
405	31285	45772
406	31357	45687
407	31430	45604
408	31501	45519
409	31576	45438
410	31648	45355
411	31716	45265
412	31787	45179
413	31862	45099
414	31938	45021
415	32016	44946
416	32089	44863
417	32164	44783
418	32236	44699
419	32311	44620
420	32381	44534
421	32467	44470
422	32555	44407
423	32655	44362
424	32746	44303
425	32821	44224
426	32895	44142
427	32976	44072
428	33048	43987
429	33140	43930
430	33241	43884
431	33321	43811
432	33409	43748
433	33493	43680
434	33571	43603
435	33650	43529
436	33731	43457
437	33814	43387
438	33885	43302
439	33961	43223
440	34047	43157
441	34122	43077
442	34205	43007
443	34278	42925
444	34359	42852
445	34433	42771
446	34505	42687
447	34575	42602
448	34650	42522
449	34723	42440
450	34793	42354
451	34871	42278
452	34952	42205
453	35049	42152
454	35123	42071
455	35197	41990
456	35278	41917
457	35365	41851
458	35440	41772
459	35509	41685
460	35599	41622
461	35687	41558
462	35772	41489
463	35853	41417
464	35934	41344
465	36009	41264
466	36079	41178
467	36150	41094
468	36222	41010
469	36291	40924
470	36372	40850
471	36461	40787
472	36539	40710
473	36608	40624
474	36677	40538
475	36752	40458
476	36826	40377
477	36900	40296
478	36974	40216
479	37050	40137
480	37131	40065
481	37211	39990
482	37303	39929
483	37376	39847
484	37466	39784
485	37552	39715
486	37645	39655
487	37740	39596
488	37832	39534
489	37927	39475
490	38010	39404
491	38094	39333
492	38186	39270
493	38265	39194
494	38345	39120
495	38417	39037
496	38489	38953
497	38565	38875
498	38640	38794
499	38718	38718
500	38791	38636
501	38859	38549
502	38929	38464
503	39001	38382
504	39070	38296
505	39150	38222
506	39235	38151
507	39317	38079
508	39407	38013
509	39493	37944
510	39575	37872
511	39660	37801
512	39743	37729
513	39828	37658
514	39911	37586
515	40003	37522
516	40083	37447
517	40160	37369
518	40251	37304
519	40338	37235
520	40425	37166
521	40513	37098
522	40609	37037
523	40691	36964
524	40771	36888
525	40846	36808
526	40921	36728
527	40998	36650
528	41084	36579
529	41172	36511
530	41255	36438
531	41329	36357
532	41411	36283
533	41483	36200
534	41552	36115
535	41636	36043
536	41722	35973
537	41805	35899
538	41885	35824
539	41966	35749
540	42038	35666
541	42108	35582
542	42179	35499
543	42252	35417
544	42326	35336
545	42400	35255
546	42497	35194
547	42577	35118
548	42659	35044
549	42742	34971
550	42832	34903
551	42921	34834
552	43013	34768
553	43097	34696
554	43201	34638
